gene,control_mean,treatment_mean,log2FC,statistic,pvalue,-log10_pvalue,pvalue_adjusted,-log10_padj,significant
Gene1,0.6257,-0.1289,,-1.1036,0.3316773944923327,0.4793,0.8104008701855031,0.09130010131441058,False
Gene2,-1.1321,-0.4203,-1.4295,0.8991,0.41943774590657257,0.3773,0.8104008701855031,0.09130010131441058,False
Gene5,0.4124,-0.4853,,-0.9082,0.4151488250634774,0.3818,0.8104008701855031,0.09130010131441058,False
Gene4,-0.5282,-0.1722,-1.6168,0.7663,0.48624052211130186,0.3131,0.8104008701855031,0.09130010131441058,False
Gene6,-1.0263,0.3689,,2.0825,0.10571956351641777,0.9758,0.8104008701855031,0.09130010131441058,False
Gene7,-0.6318,-0.0411,-3.9415,0.8444,0.445983011051942,0.3507,0.8104008701855031,0.09130010131441058,False
Gene3,-0.2849,-0.5277,0.8892,-0.2433,0.8197392378438407,0.0863,0.9808166823769706,0.008412155995879795,False
Gene0,0.3354,0.3516,0.0681,0.0256,0.9808166823769706,0.0084,0.9808166823769706,0.008412155995879795,False
Gene8,-0.3651,-0.1501,-1.2823,0.2686,0.8015252748444236,0.0961,0.9808166823769706,0.008412155995879795,False
Gene9,0.3744,0.3325,-0.1709,-0.0588,0.9559612844478057,0.0196,0.9808166823769706,0.008412155995879795,False
